No,Transaction Number,Merchant ID,Tipe Transaksi,Nama Issuer,Nominal,Transaction Date,Status
35,B005215005,X610005448,Pembayaran,DANA,100000.0,2022-07-10 23:44:59,success
64,B005214931,X610110384,Pembayaran,DANA,150000.0,2022-07-10 23:36:31,success
79,B005214895,X612094437,Pembayaran,DANA,20000.0,2022-07-10 23:32:14,success
117,B005744332,X610110454,Pembayaran,DANA,100000.0,2022-07-20 23:32:39,success
130,B005214792,X610115833,Pembayaran,DANA,50000.0,2022-07-10 23:18:16,success
207,B005214599,X608101191,Pembayaran,BCA,190000.0,2022-07-10 23:01:07,success
221,B005214568,X610005432,Pembayaran,DANA,40000.0,2022-07-10 22:58:00,success
252,B005214494,X610005869,Pembayaran,DANA,50000.0,2022-07-10 22:48:28,success
256,B005214486,X605067864,Pembayaran,MANDIRI,25000.0,2022-07-10 22:47:50,success
262,B005743982,X610164528,Pembayaran,DANA,45000.0,2022-07-20 23:03:49,success
274,B005214428,X615102820,Pembayaran,MANDIRI,17000.0,2022-07-10 22:43:11,success
286,B005743939,X609109963,Pembayaran,MANDIRI,35000.0,2022-07-20 22:59:15,success
318,B005214325,X612094437,Pembayaran,DANA,50021.0,2022-07-10 22:33:18,success
321,B006123800,X610110527,Pembayaran,BRI,38000.0,2022-07-31 23:05:34,success
321,B005214320,X606009840,Pembayaran,BCA,7000.0,2022-07-10 22:32:01,success
355,B005214215,X616063790,Pembayaran,BCA,60000.0,2022-07-10 22:25:47,success
366,B006123704,X610115864,Pembayaran,OVO,49000.0,2022-07-31 22:55:15,success
380,B006123681,X605069467,Pembayaran,SHOPEEPAY,24000.0,2022-07-31 22:53:43,success
380,B006123681,X605069467,Pembayaran,SHOPEEPAY,24000.0,2022-07-31 22:53:43,success
386,B005214130,X610005870,Pembayaran,GOPAY,40000.0,2022-07-10 22:20:19,success
395,B005743670,X610153755,Pembayaran,DANA,65000.0,2022-07-20 22:40:27,success
424,B005743600,X610110384,Pembayaran,BCA,36000.0,2022-07-20 22:36:16,success
436,B006123580,X610169513,Pembayaran,GOPAY,10123.0,2022-07-31 22:42:04,success
443,B005213971,X617500171,Pembayaran,DANA,108000.0,2022-07-10 22:09:19,success
451,B006123557,X617098094,Pembayaran,MANDIRI,62000.0,2022-07-31 22:40:41,success
461,B005213917,X602050549,Pembayaran,BNI,47000.0,2022-07-10 22:06:05,success
517,B005743360,X617007336,Pembayaran,BPD DKI,5000.0,2022-07-20 22:21:27,success
519,B005213750,X611002018,Pembayaran,BCA,210000.0,2022-07-10 21:58:24,success
